station_in,station_out,time
1,42,2
1,57,2
4,215,2
4,242,4
14,62,1
14,221,3
16,88,2
16,239,3
17,154,4
17,160,1
18,53,1
18,221,4
21,133,1
21,208,2
27,29,2
27,136,1
29,237,3
34,133,4
34,138,3
39,208,1
39,240,2
42,218,2
52,53,3
52,67,4
56,57,4
58,78,3
58,100,2
58,113,2
58,235,3
58,239,3
62,222,2
63,168,1
63,191,3
65,160,4
67,105,3
76,162,4
76,235,4
78,194,2
86,116,4
86,218,4
88,172,3
100,154,4
105,220,4
116,267,1
136,201,3
138,215,4
162,168,3
166,222,4
166,237,1
172,199,4
183,224,3
183,240,4
188,194,2
188,224,3
191,245,3
199,218,1
201,242,4
220,269,4
245,268,1
